sha256,changwat,constituency,polling_station,amphoe,tambon,rank1_votes,rank2_votes,vote_margin,margin_rate
d2384a2bd33652e80105c2c562e01f22950755d97af08a268ee208aa5a248fd3,ลำปาง,1,1,สำนักงานเขตเลือกตั้งที่ 1,เมืองยาว,119,101,18,0.15126050420168066
f3099959cd5871b17d22dda8bf1a1159b94da4ce45fc6dee6b00b513dfa4accc,ลำปาง,1,8,เมือง,บ่อแล่นทอง,51,33,18,0.35294117647058826
5b135fd5e24b8d281c8484f4fa236c98cbac67aac906b0a9017ab34936e872f6,ลำปาง,1,4,เมืองพัฒนา,มูลค่าเพิ่ม,79,60,19,0.24050632911392406
4cf43ebce0b42f0faeb63049a7f4f9bac23ba3de432ae2edb075ef345ff5492c,ลำปาง,1,2,เมืองลำปาง,ปุณฑารามฯ,83,64,19,0.2289156626506024
dc5518b18558b59b647b748840e031fb13f24a42c02f983dd645930c554d0a5a,ลำปาง,1,1,เมือง,ทุ่งคราม,188,168,20,0.10638297872340426
3c3fc7b74ff8834dba2ea3daa2112c279b3d5c6a74ea47c1851ce7dd24b1dc1a,ลำปาง,1,10,เมือง,เขื่อนเหนือ,39,19,20,0.5128205128205128
6c7f86676fedd26b8329784d7de803f103e595efc238f0dfd0e9d341e426d722,ลำปาง,1,10,เมือง,นิคมพัฒนา,63,43,20,0.31746031746031744
df061997468f61cf78fe87e11b10b1fde0cbe16837f60c288a804ce6b7ab80c3,ลำปาง,1,3,อำเภอ/เขต เมืองฯ,ตำบล/แขวง/เทศบาล 10490,90,70,20,0.2222222222222222
e54692d6c9be23409e75cfc4ef3af614804b6d2cbaf84a729227daa9b94d976d,ลำปาง,1,19,กำแพงเพชร,เมือง,147,127,20,0.1360544217687075
3789fe69af02b1e8e55e3f516674a4ecb82ea8572184cc287096ab24d79f39af,ลำปาง,1,1,,,567,547,20,0.03527336860670194
dc48937e7fc6f88daa28f8f03e0d9bc7f39c1993d1b3186b5d687db010378b37,ลำปาง,1,9,อำเภอ/เขต,ถนนจรเข้,32,12,20,0.625
3390e60c0797905b6ac7b85c7ad90635e2119c9f685f18019747eecf773112a5,ลำปาง,1,4,เมือง,คันธรวย,147,126,21,0.14285714285714285
8391ff9c221cc18c2f4240c4ac87c7e554e6847af79d8f7c9680e8d0191e8b69,ลำปาง,1,42,เมือง,สมุย,81,60,21,0.25925925925925924
4ef9125235bfcefeafdba7e956d5ffbaf28c8ef855be33d602642edc4e5df4ce,ลำปาง,1,2,เมือง,ฟ้าฮ่าม,132,110,22,0.16666666666666666
52212598f774177496e713576e6081af7ba593f7eafa2a94dc6366a7589ed65d,ลำปาง,1,2,อำเภอ/เขต,ตำบล/แขวง/เทศบาล เมือง,156,134,22,0.14102564102564102
485a4f6487bf6914fceb4af505c8a51aac273cd6ccf4acbce8b5279bdfe782c8,ลำปาง,1,4,ห้างนคร,แม่สัน,38,15,23,0.6052631578947368
fd6dfbcc8bc97132a8e9122d7653e0c24fc7394e117e759ba0e7bc83fd47a4d8,ลำปาง,1,7,เมือง,มานค่า,132,108,24,0.18181818181818182
0f1740d31cce64e03953230a0ca7aa989279db4f6e95df431a222e37d3b9c28d,ลำปาง,1,3,เมือง,ม่อแร้ง,44,20,24,0.5454545454545454
ee12d2aa4cceb771d0b7a80a8115a279ebde54021dd81a89880fdb6aac3e6998,ลำปาง,1,9,มัณฑารา,แพ่งิม,111,86,25,0.22522522522522523
422cbfb098b5e8c95c90eea5f96c61e92f222f997f1d0491b10e5b9372e2cd1a,ลำปาง,1,3,ห้างฉัตร์,เมืองฯ,137,112,25,0.18248175182481752
76917851712e75be04a94cc74c6fc61340079f9053797d65e76f2ccea41a627c,ลำปาง,1,9,เพื่อ,ทุ่งฝาย,92,66,26,0.2826086956521739
910dfecc27ab4908868fb6525c916db8ff980fd27615b2355ad8f307fd489a18,ลำปาง,1,5,เมือง,หัวเวียง,67,41,26,0.3880597014925373
73a57c23d4c09bfd931b1257cfc93aa48d8ee9267baf47729960c5fee288dc30,ลำปาง,1,30,เมืองลำปาง,นครลำปาง,65,38,27,0.4153846153846154
b0edf5986081b865306b8ea5766fd5d252b4e029c520d8f792e26404ad24c81c,ลำปาง,1,4,เมือง,นิคมพัฒนา,78,51,27,0.34615384615384615
