changwat,constituency,amphoe,tambon,station_count,voters_registered,voters_present,ballots_used,ballots_valid,ballots_invalid,ballots_no_vote,turnout_rate,invalid_rate,no_vote_rate
ลำปาง,1,อำเภอ/เขต,หมู่ที่ 9,1,443,440,443,394,6,37,0.9932279909706546,0.013636363636363636,0.08409090909090909
ลำปาง,1,อำเภอ/เขต กำจัด,กำจัด,1,309,303,303,276,8,19,0.9805825242718447,0.026402640264026403,0.0627062706270627
ลำปาง,1,หัวเมืองฯ,แม่สัน,1,475,347,347,309,14,24,0.7305263157894737,0.040345821325648415,0.069164265129683
ลำปาง,1,หัวเมืองฯ,เลียบคลอง,1,470,324,324,267,22,35,0.6893617021276596,0.06790123456790123,0.10802469135802469
ลำปาง,1,หัวเมืองฯ,ห้างฉัตร,1,37,637,637,543,36,58,17.216216216216218,0.0565149136577708,0.09105180533751962
ลำปาง,1,ลำปาง,สยาม อิชิตุโย,1,413,474,274,238,7,29,1.1476997578692494,0.014767932489451477,0.06118143459915612
ลำปาง,1,น้ำผึ้ง,ตำบล/แขวง/เทศบาล 20,1,404,574,574,520,34,24,1.4207920792079207,0.059233449477351915,0.041811846689895474
ลำปาง,1,บางกะปิ,ป้อมเจ้าหลวง,1,573,395,395,343,11,41,0.6893542757417103,0.027848101265822784,0.10379746835443038
ลำปาง,1,บางแค,บางนาดำ,1,70,70,490,424,25,21,1.0,0.35714285714285715,0.3
ลำปาง,1,ปักธารา,เมืองฯ,1,470,358,358,302,38,18,0.7617021276595745,0.10614525139664804,0.05027932960893855
ลำปาง,1,ปักธิวาเขตรถาง,40,1,37,28,288,267,11,10,0.7567567567567568,0.39285714285714285,0.35714285714285715
ลำปาง,1,ปางจักร,เวียงตาล,1,230,163,163,142,10,11,0.7086956521739131,0.06134969325153374,0.06748466257668712
ลำปาง,1,ฝั่งซ้าย,ม้านป่า,1,23,74,74,74,8,7,3.217391304347826,0.10810810810810811,0.0945945945945946
ลำปาง,1,ฝางพิมาย,ฝางพิมาย,1,734,493,467,426,25,44,0.6716621253405994,0.05070993914807302,0.08924949290060852
ลำปาง,1,ม่วงฉัตร,ปังยางคก,1,349,256,256,236,6,14,0.7335243553008596,0.0234375,0.0546875
ลำปาง,1,ลำปาง,บางเขน,1,791,401,371,401,41,39,0.506953223767383,0.10224438902743142,0.09725685785536159
ลำปาง,1,ลำปาง,บ่อแร้งหนองกะลาโอ่เขตเมือง,1,598,398,398,356,6,36,0.6655518394648829,0.01507537688442211,0.09045226130653267
ลำปาง,1,ลำปาง,ศึกษาพิทยากร,1,760,760,760,694,9,54,1.0,0.011842105263157895,0.07105263157894737
ลำปาง,1,ลำปาง,เหรียญดุษฎี,1,88,88,88,68,7,3,1.0,0.07954545454545454,0.03409090909090909
ลำปาง,1,หัวเมืองฯ,หนองฉัตร,1,285,385,186,165,10,21,1.3508771929824561,0.025974025974025976,0.05454545454545454
ลำปาง,1,สุขใจ,สุขใจ,1,615,420,420,372,14,34,0.6829268292682927,0.03333333333333333,0.08095238095238096
ลำปาง,1,หนองคู,มอญปาก,1,100,400,400,372,372,4,4.0,0.93,0.01
ลำปาง,1,หัวคิด,หนองพลูม,1,378,378,378,341,11,26,1.0,0.0291005291005291,0.06878306878306878
ลำปาง,1,หัวจักร,20167,1,375,375,375,328,24,23,1.0,0.064,0.06133333333333333
ลำปาง,1,หัวมิตร,นำมากล,1,7,263,263,235,15,13,37.57142857142857,0.057034220532319393,0.049429657794676805
ลำปาง,1,หัวยุทธ,บางจาก,1,504,368,368,337,11,20,0.7301587301587301,0.029891304347826088,0.05434782608695652
ลำปาง,1,หัวหมาก,ปทุมธานี,1,70,50,520,453,30,37,0.7142857142857143,0.6,0.74
ลำปาง,1,หัวเน็ต,ห้างจิตร,1,760,590,570,502,32,36,0.7763157894736842,0.05423728813559322,0.061016949152542375
ลำปาง,1,หัวเมือง,ห้างค้า,1,0,0,578,522,19,37,,,
ลำปาง,1,หัวเมือง,แม่สิม,1,360,222,222,222,13,19,0.6166666666666667,0.05855855855855856,0.08558558558558559
ลำปาง,1,หัวเมืองฯ,วงศ์แก้ว,1,475,320,320,282,24,14,0.6736842105263158,0.075,0.04375
ลำปาง,1,หัวเมืองฯ,หนองจิตร,1,470,345,345,304,15,26,0.7340425531914894,0.043478260869565216,0.07536231884057971
ลำปาง,1,อำเภอ/เขต กำแพงเพชร,เมืองฯ,1,240,179,179,180,10,9,0.7458333333333333,0.055865921787709494,0.05027932960893855
ลำปาง,1,อำเภอ/เขต ห้างสรรพสินค้า,ตำบล/แขวง/เทศบาล เมืองฯลฯ,1,47,448,448,415,18,15,9.53191489361702,0.04017857142857143,0.033482142857142856
ลำปาง,1,นางจอมุข,เชิงคาว,1,555,347,387,349,19,24,0.6252252252252253,0.05475504322766571,0.069164265129683
ลำปาง,1,เมือง,ซมท.,1,526,349,349,308,18,21,0.6634980988593155,0.05157593123209169,0.06017191977077364
ลำปาง,1,เพิ่มลำปาง,ป่านคำ,1,359,700,250,231,9,10,1.9498607242339834,0.012857142857142857,0.014285714285714285
