sha256,voting_type,station_id,tambon,amphoe,changwat,constituency,polling_station,election_date,voters_registered,voters_present,ballots_allocated,ballots_used,ballots_valid,ballots_invalid,ballots_no_vote,ballots_remaining,total_votes,validation_passed,turnout_rate,valid_rate,invalid_rate,no_vote_rate
ba2fce20fcb3de3481aa4e52af75d235efc9db1235d5d2cb3c28f7ba0a23b217,election_day,,พระบาท,เมือง,ลำปาง,1,63,2026-02-28,512,322,480,372,292,13,1876,158,292,False,0.62890625,0.906832298136646,0.040372670807453416,5.826086956521739
c28552236c9b1ad014c2ac088c1c72796ec32ca3af7e566f5c370f747490fd26,election_day,,เชียงตาล,เชียงดาว,ลำปาง,1,13,2026-02-28,47,353,480,353,319,14,20,127,319,False,7.51063829787234,0.9036827195467422,0.039660056657223795,0.056657223796033995
cc6536c46598c192be716c29320e9c7db55debb3409d8f69c96f19134dea0af6,election_day,,ตำบล/แขวง/เทศบาล เมืองพะเยา,อำเภอ/เขต เชิงจักร,ลำปาง,1,3,2026-02-28,40,37,420,327,295,17,15,93,296,False,0.925,7.972972972972973,0.4594594594594595,0.40540540540540543
cee165fd4b37c7fdf947ada692ebf2e2b1a5fa5389d99df8074eb971e4ce0326,election_day,,หัวเวียง,เชิงคานอง,ลำปาง,1,23,2024-02-08,492,297,400,297,297,2,2,129,297,False,0.6036585365853658,1.0,0.006734006734006734,0.006734006734006734
d97c65fdf911900af40f38a723fd4c90063175a9bc9be88cf734552aa4c829dc,election_day,,นองแล้ว,เมือง,ลำปาง,1,81,2026-02-08,487,345,460,345,304,22,19,115,304,False,0.7084188911704312,0.881159420289855,0.06376811594202898,0.05507246376811594
dd07b6e31a512cdb02b73184213f1681154aa03d73ea8a6d142f19e3a6f336e4,election_day,,เวียงตลาด,หางจิตร,ลำปาง,1,10,2026-02-28,420,327,420,327,290,12,25,93,290,False,0.7785714285714286,0.8868501529051988,0.03669724770642202,0.0764525993883792
e0283cd4e2320bdd119236a8917f14ed6acf256f13c67c6afbb6b7bcb9e3c8b6,election_day,,ยุพานาคพัฒนา,เมือง,ลำปาง,1,8,2026-02-28,300,228,700,228,207,9,12,72,207,False,0.76,0.9078947368421053,0.039473684210526314,0.05263157894736842
fe614a8c7f105e07fa0661bcb27896de1f643efb8122ec7f86541f397e933576,election_day,,ม้านเป้า,เมือง,ลำปาง,1,11,2026-02-28,273,211,260,211,195,7,9,49,195,False,0.7728937728937729,0.9241706161137441,0.03317535545023697,0.04265402843601896
ffd0e69f6d071df5c424f8126dc2c706adbab1f48d7eb51b63e48a0f279f7485,election_day,,เชียงเหลือ,สร้อย,ลำปาง,1,4,2026-02-08,652,416,600,416,372,13,31,184,372,False,0.6380368098159509,0.8942307692307693,0.03125,0.07451923076923077
4b2e389c14a7b276992969d124a92f24340368cd6593c079242db6692de60b9d,election_day,,มานิชอน,เมือง,ลำปาง,1,10,2026-02-08,368,255,360,255,227,41,17,105,227,False,0.6929347826086957,0.8901960784313725,0.1607843137254902,0.06666666666666667
52212598f774177496e713576e6081af7ba593f7eafa2a94dc6366a7589ed65d,election_day,,ตำบล/แขวง/เทศบาล เมือง,อำเภอ/เขต,ลำปาง,1,2,2026-02-28,448,448,448,414,414,38,8,152,414,False,1.0,0.9241071428571429,0.08482142857142858,0.017857142857142856
755abe3496e46301d6d88eadf9e93cf683bdec598e1742721aa4c57e3f7e9869,advance,,เชิงมูลค่าทางพิเศษ,เชิงมูลค่าทางพิเศษ,ลำปาง,1,1,2026-02-28,760,760,760,760,732,4,24,0,732,False,1.0,0.9631578947368421,0.005263157894736842,0.031578947368421054
7d4746b9e480dbe7fe8fb38775157ae1994c26b31ba2017834d8ffa34a43f2ac,election_day,,เกียวเหนือ,เมือง,ลำปาง,1,15,2026-02-28,406,264,360,264,237,11,16,96,237,False,0.6502463054187192,0.8977272727272727,0.041666666666666664,0.06060606060606061
82669a6dde07b625c9deed5ac30fea77edf17e8370ab3e835bf958ba8d36cae8,election_day,,มวกเหล็ก,เมืองลพบุรี,ลำปาง,1,5,2026-02-28,722,504,700,504,467,24,23,196,467,False,0.6980609418282548,0.9265873015873016,0.047619047619047616,0.04563492063492063
9171d0a94aa2da15220713c306d803f80a67fb7bb3b6a77ba2c30e87fae4dfb0,election_day,,ลาดสว่าง,เมือง,ลำปาง,1,15,2026-02-08,211,156,200,156,135,7,14,44,135,False,0.7393364928909952,0.8653846153846154,0.04487179487179487,0.08974358974358974
0abb5a3d5ba816eff3555ebefde09ba608ad7570a965c4eb42f11e618844abc4,election_day,,ค่ายเซียง,ร้อน,ลำปาง,1,13,2026-02-08,639,454,620,454,392,28,34,166,392,False,0.7104851330203443,0.8634361233480177,0.06167400881057269,0.07488986784140969
0ea206335e9c245b3b3803b937dd238f1bb472c389b62ed26c7318a4a44c5d75,election_day,,ปอเรือง,เมือง,ลำปาง,1,5,2026-02-08,479,352,440,352,319,17,16,88,319,False,0.7348643006263048,0.90625,0.048295454545454544,0.045454545454545456
481e86f3371b3724ad41a9eff152f9bb22d7b93d3682aed17e1b9538a3a6a754,election_day,,หริเวียง,เมืองลพบุรี,ลำปาง,1,25,2026-02-28,369,242,840,242,217,10,15,98,217,False,0.6558265582655827,0.8966942148760331,0.04132231404958678,0.06198347107438017
9d416107de5505b8edea183a653abf36a0d6ac1321d78dcb46e404ac95b76791,election_day,,เมืองฯ,หัวลิงคิตร,ลำปาง,1,6,2026-02-28,240,199,240,199,187,10,2,41,8768,False,0.8291666666666667,0.9396984924623115,0.05025125628140704,0.010050251256281407
a5f2c92675f20c17108253a3a0f965cec9d4ec22fc625da0afc6cf190a0db949,election_day,,ประชาคม,ห้างฉัตร,ลำปาง,1,11,2026-02-08,349,256,320,236,239,7,10,64,239,False,0.7335243553008596,0.93359375,0.02734375,0.0390625
b55fcef0baa2486e49eceb39785bcbaa318dcf140d63fd5b801603beb04fc684,election_day,,ท่าฝาย,เมืองลำปาง,ลำปาง,1,7,2026-02-28,393,301,380,301,264,18,19,79,264,False,0.7659033078880407,0.8770764119601329,0.059800664451827246,0.06312292358803986
bfae14babefff793b63cc28a01a5a8f7dfed0afe818ec669ebcbfe438c2c5577,election_day,,พระบาทฯ,เมือง,ลำปาง,1,67,2026-02-28,536,343,500,343,312,11,20,157,312,False,0.6399253731343284,0.9096209912536443,0.03206997084548105,0.05830903790087463
