sha256,changwat,constituency,polling_station,amphoe,tambon,rank1_votes,rank2_votes,vote_margin,margin_rate
2d6d2a78f9cdbfc9f11c711d7fb32cc37bfa1e7aa07df766031eb63574c07b7c,ลำปาง,1,2,เมือง,ม้านลิ่ม,70,33,37,0.5285714285714286
b090919d1850f64b1d14fc661b7ebf3348b952f5cf0edaaf0e64449c942613c0,ลำปาง,1,13,ห้างฉัตร,เมืองยาว,138,101,37,0.26811594202898553
dd07b6e31a512cdb02b73184213f1681154aa03d73ea8a6d142f19e3a6f336e4,ลำปาง,1,10,ถาวรวิทยา,เวียงตาล,115,78,37,0.3217391304347826
a5f2c92675f20c17108253a3a0f965cec9d4ec22fc625da0afc6cf190a0db949,ลำปาง,1,11,ม่วงฉัตร,ปังยางคก,77,39,38,0.4935064935064935
4b2e389c14a7b276992969d124a92f24340368cd6593c079242db6692de60b9d,ลำปาง,1,10,เขตเลือกตั้งที่ 1,สำนักอิ่ม,101,63,38,0.37623762376237624
b2bef7403617e51cc16b17b267bccd34b7d0d411408080fef474b2169a04d5d8,ลำปาง,1,5,ห้างฉัตร,แม่ลาน,172,134,38,0.22093023255813954
4d6b83632c1c83590b0d26cabc1eb15ea83d5c44c7e0920869387f19f0f980f5,ลำปาง,1,35,เมือง,สวนดอก,78,38,40,0.5128205128205128
b6c27de612b9bf57ec0d9af6c5d308f55241cfb32af884bd21df29be372a0199,ลำปาง,1,10,เมืองลำปาง,คลองมิ้ว,72,32,40,0.5555555555555556
df768f9a55becfbfaf25f0daebf359568f0a0c94fb7daa02703e777fa6b70949,ลำปาง,1,10,เชิงชิต,ป้อมทอง,141,100,41,0.2907801418439716
e54692d6c9be23409e75cfc4ef3af614804b6d2cbaf84a729227daa9b94d976d,ลำปาง,1,19,กำแพงเพชร,เมืองฯ,154,113,41,0.2662337662337662
a6de175b0bb4495b004ccea0ee56115603d7fc6b888b7b3f06b7295ae90b722a,ลำปาง,1,5,ห้ามฉ้อจารย์,หนองหล่ม,102,60,42,0.4117647058823529
7d4746b9e480dbe7fe8fb38775157ae1994c26b31ba2017834d8ffa34a43f2ac,ลำปาง,1,15,เมือง,เกียวเหนือ,87,45,42,0.4827586206896552
6594b016f5f01beb35646943f9d50fcd37492a39ced3f88d4a39c7436e3f0c8a,ลำปาง,1,4,............,นางลตร,97,54,43,0.44329896907216493
ee12d2aa4cceb771d0b7a80a8115a279ebde54021dd81a89880fdb6aac3e6998,ลำปาง,1,9,นางจิกร,แม่สิม,137,94,43,0.31386861313868614
3618f3b07935ef129a9acf610a703b457c86568dbefd7ad2f71404aeb3c3551c,ลำปาง,1,12,เมือง,น่อแป๋ว,69,25,44,0.6376811594202898
9a627c19a84bc713296a4d304ee902ff3c54107ddc383a0b58d8abc67b5b2678,ลำปาง,1,3,เมืองลำปาง,เวียงเหนือ,102,57,45,0.4411764705882353
660c164a1cd44756f55f8a5f72118c5e6d15988169b89704dbaf2db93de63a07,ลำปาง,1,5,ห้างฉัตร,ออแก้ว,180,135,45,0.25
422cbfb098b5e8c95c90eea5f96c61e92f222f997f1d0491b10e5b9372e2cd1a,ลำปาง,1,24,หัวเม็ด,เมืองฯ,152,107,45,0.29605263157894735
b6b045fff18f8653256c2d43aeead038702515fa1bfdd92c4383c41b7f7e17af,ลำปาง,1,12,เมือง,ห้ามนำ,128,83,45,0.3515625
91bab61a6f454f143bd3606de41167892712381723e632c8bf17daa6667a6ece,ลำปาง,1,7,เมือง,มานายเอื้อม,112,66,46,0.4107142857142857
91edf8fb783c1a24cd362c908e4943c452f5da5f24ac5471125a6cbbacd7d63a,ลำปาง,1,13,ห้างฉัตร,ปังยมคอก,177,130,47,0.2655367231638418
1af445cfda43aeb00b1126ddfda35e7e3c623e6f67b26c312c83def7507ad036,ลำปาง,1,11,เมือง,คันธรชัย,172,124,48,0.27906976744186046
1e758037bce51c750ca4a6e20d90666f3bc51d6f7a9f8f208deced54e5f10918,ลำปาง,1,3,เชียงใหม่,เชิงชัย,151,103,48,0.31788079470198677
0ea206335e9c245b3b3803b937dd238f1bb472c389b62ed26c7318a4a44c5d75,ลำปาง,1,5,เมือง,ปอเรือง,146,98,48,0.3287671232876712
d1a36575a786ccd790044d64f554e2acfe68b5749975234930ebd32e21d81933,ลำปาง,1,58,เมือง,พระบาท,76,28,48,0.631578947368421
2da73374d7e953b1988ad7adc377c600d2db4153f4825beacfce131df8505abc,ลำปาง,1,44,ลำปาง,สยาม อิชิตุโย,102,54,48,0.47058823529411764
82669a6dde07b625c9deed5ac30fea77edf17e8370ab3e835bf958ba8d36cae8,ลำปาง,1,5,เมืองลำปาง,บ้านศา,191,143,48,0.2513089005235602
910dfecc27ab4908868fb6525c916db8ff980fd27615b2355ad8f307fd489a18,ลำปาง,1,0,เมือง,หัวเรื่อง,81,32,49,0.6049382716049383
20762d806946911999df94d78fe0de728a12f4d10b29981942d7884063ba7915,ลำปาง,1,62,เมืองฯ,นครลำปาง,83,34,49,0.5903614457831325
3454cdfdccd12eed9ea8e336402d5323a9f0a1b539b87f9380d03c385b752cff,ลำปาง,1,1,เชิงทะเล,เชิงทะเล,114,64,50,0.43859649122807015
ce6c2f52d14e2ee85a81a959f00ea6d4a7c79eb2e36533f081f7d0cd23d8f4c0,ลำปาง,1,61,เมือง,พระบาท,130,80,50,0.38461538461538464
d29e3fe55f2f004ffd4185d701772408af5169d6c04ebc71838412223e440eb1,ลำปาง,1,15,เมือง,มาน้ำเมือง,101,50,51,0.504950495049505
f0f42d8fa01e8961542a4772057844a9ebc1cc6321d193749e08693209b51a9d,ลำปาง,1,2,เมือง,บ้านเป้า,138,87,51,0.3695652173913043
aa82a2d42774351f1cba11fc60c7e571fba0fa92e224dbe7cc7dcfa67f950435,ลำปาง,1,1,เขตร้อยสามแยก,มูลนายอิมพ,166,115,51,0.3072289156626506
ac28bb0ea1eb01f99b41aaa29e703d4b2d85c542ed5615fc258bc0d73f393274,ลำปาง,1,57,เมือง,พระบาท,88,36,52,0.5909090909090909
b60109796d99b96f4e3fafe645cd9ac37e87d70b9671db1dd8853e776e037a6b,ลำปาง,1,4,หัวจักร,20167,162,109,53,0.3271604938271605
04f40d7e5403533a53ad2ab0e29126bf8593f845e0a93df07488f982ddf23ee3,ลำปาง,1,14,เมือง,บ้านเอื้อม,129,76,53,0.4108527131782946
df061997468f61cf78fe87e11b10b1fde0cbe16837f60c288a804ce6b7ab80c3,ลำปาง,1,3,อำเภอ/เขต เมืองฯ,ตำบล/แขวง/เทอมบาล เลื่อนมา,99,43,56,0.5656565656565656
bf7f896b2566e2326c32410aee58bb75fb82d8ee764a169ee53924c929088aa4,ลำปาง,1,6,เมือง,พลเมือง,180,123,57,0.31666666666666665
2ae3b59e050a1b28211f9e2ca91938a6306c8537df7f41132edd1d89deb8922e,ลำปาง,1,46,เมือง,สบุ๋ย,87,30,57,0.6551724137931034
ed11955ebb41a61387bea1dbe307659ae52fd3a5d3e49e3928df7a63db6ba2c2,ลำปาง,1,75,เมือง,ธมฺพ ไทยฯ,89,32,57,0.6404494382022472
1c11a72209b392cbcecaff9d94339586c50d3d44561e86772c305ea1d1d27f15,ลำปาง,1,11,ซังฮัตร,เชียงตาล,110,53,57,0.5181818181818182
7c53471b4871a21793095a2cb492521e2724f10263e372f7f97315985b78204c,ลำปาง,1,4,เมืองลำปาง,ป้อมซัง,156,99,57,0.36538461538461536
bf2f8ba9edc587b4a1419b1fdf04f57acaf8420458bb69a2d599e3fdd2bc72b9,ลำปาง,1,12,เมืองลำปาง,ต้น ธงชัย,187,130,57,0.3048128342245989
9f68378bbc0a1b47c3b7516d66d35d4113afe10a733d6e6ca8ea5694e115ac07,ลำปาง,1,5,เมือง,บ้านเชื่อม,112,54,58,0.5178571428571429
fad324aa2946d25f8f278d1d45d3b3908d6d9b849d07919c63cc9a59619a2256,ลำปาง,1,2,หัวคิด,หนองพลูม,165,107,58,0.3515151515151515
